"result_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"routingtableactive";"neighbor_id_0";"neighbor_petx_0";"neighbor_parent_0";"neighbor_id_1";"neighbor_petx_1";"neighbor_parent_1";"neighbor_id_2";"neighbor_petx_2";"neighbor_parent_2";"neighbor_id_3";"neighbor_petx_3";"neighbor_parent_3";"neighbor_id_4";"neighbor_petx_4";"neighbor_parent_4";"pkt_length";"parentparent"
"2016-08-18 09:09:48.376";20841;22731;2;22731;1;0;5;10;29;221;50;10;215;221;3102;108;526;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 09:20:13.988";23031;22731;4;22731;0;0;5;10;4;221;50;10;220;224;4869;9528;1544;4;20;23341;10;10501;11501;10;40031;10101;10;40031;23131;10;40031;0;0;0;55;40031
"2016-08-18 09:35:25.932";21341;20141;5;22731;0;0;5;10;83;221;50;10;214;211;2900;196;331;0;14;23341;20;10501;22631;10;40031;20141;10;40031;21731;17;40031;0;0;0;55;40031
"2016-08-18 09:45:16.608";20841;11501;2;22731;0;0;5;10;34;221;50;10;1;223;3107;108;527;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 09:50:29.808";22731;11301;2;40031;0;0;4;10;165;221;40;10;3;226;5286;8134;1621;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20641;10;11301;0;0;0;55;10301
"2016-08-18 09:51:55.812";23131;11501;5;22631;0;0;5;10;246;221;50;10;7;233;5879;21292;3514;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;10;40031;0;0;0;55;40031
"2016-08-18 10:20:47.217";20841;11501;2;22731;0;0;5;10;40;221;50;10;0;223;3113;108;527;0;14;11501;10;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 10:30:31.104";21341;22631;5;22731;0;0;5;10;91;221;50;10;225;224;2908;196;332;0;14;23341;17;10501;22631;10;40031;20141;10;40031;21731;16;40031;0;0;0;55;40031
"2016-08-18 10:30:57.808";21141;11801;5;20941;0;0;6;10;22;221;61;11;0;219;2839;1;2177;45;14;11501;33;40031;48895;30;22631;21151;65535;20541;22931;11;20541;0;0;0;55;11501
"2016-08-18 10:32:49.708";22831;20541;5;20141;0;0;5;10;207;221;50;10;229;230;1232;826;191;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
"2016-08-18 10:56:17.409";20841;22731;2;22731;0;0;5;10;46;221;50;10;215;223;3119;108;535;0;14;11501;12;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 10:57:37.665";22631;40031;2;40031;0;0;4;10;56;221;40;10;221;225;5177;10378;1772;3;20;40331;10;11101;22731;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;10301
"2016-08-18 11:21:13.46";22731;40031;2;40031;0;0;4;13;173;221;40;10;223;224;5294;8161;1624;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;10301
"2016-08-18 11:25:41.933";21341;22631;5;22731;3;0;5;10;99;221;50;10;218;220;2916;196;336;0;14;23341;12;10501;22631;10;40031;20141;10;40031;21731;16;40031;0;0;0;55;40031
"2016-08-18 11:31:50.516";20841;11501;2;22731;0;0;6;10;51;221;52;12;0;220;3124;108;538;0;14;11501;12;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 11:33:41.625";23131;21731;5;22631;4;0;5;10;0;221;50;10;213;219;5889;21295;3521;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;10;40031;0;0;0;55;40031
"2016-08-18 11:54:14.558";21141;20711;5;20941;0;0;6;10;33;221;60;10;1;220;2850;1;2193;45;14;11501;27;40031;48895;30;22631;21151;65535;20541;22931;11;20541;0;0;0;55;11501
"2016-08-18 12:07:19.213";20841;11501;2;22731;0;0;5;10;57;221;51;11;0;216;3130;108;540;0;14;11501;11;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 12:20:46.093";21341;20541;5;22731;2;0;5;10;107;221;50;10;223;227;2924;196;341;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;16;40031;0;0;0;55;40031
"2016-08-18 12:42:51.22";20841;22731;2;22731;0;0;5;10;62;221;50;10;215;223;3135;108;544;0;14;11501;12;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 12:51:11.025";22831;11501;5;20141;0;0;5;10;220;221;50;10;7;234;1245;827;194;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
"2016-08-18 12:51:53.632";22731;11301;2;40031;0;0;4;10;181;221;40;10;3;223;5302;8188;1629;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;11101
"2016-08-18 13:14:14.179";23031;11501;4;22731;1;0;5;10;23;221;50;10;6;239;4888;9534;1559;4;20;23341;10;10501;11501;10;40031;10101;10;40031;23131;10;40031;0;0;0;55;40031
"2016-08-18 13:15:08.589";23131;11501;5;22631;0;0;5;10;10;221;50;10;8;240;5899;21296;3522;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;11;40031;0;0;0;55;40031
"2016-08-18 13:15:47.478";21341;20141;5;22731;0;0;5;10;116;221;50;10;213;213;2933;196;344;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;15;40031;0;0;0;55;40031
"2016-08-18 13:17:43.556";21141;11501;1;11501;1;0;5;10;46;221;55;15;0;216;2863;1;2212;45;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 13:18:19.773";20841;22731;1;22731;0;0;5;10;68;221;50;10;217;225;3141;108;557;0;14;11501;26;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 13:53:58.044";20841;22731;1;22731;0;0;5;10;73;221;50;10;215;224;3146;108;558;0;14;11501;26;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 14:10:49.085";21341;20541;5;22731;0;0;5;10;123;221;50;10;223;231;2940;196;344;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;13;40031;0;0;0;55;40031
"2016-08-18 14:22:35.289";22731;11301;2;40031;0;0;4;10;189;221;40;10;3;221;5310;8218;1631;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;11101
