"result_time";"pkt_length";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"flag";"linkid_sum";"temp_cs";"temp";"hum_cs";"hum";"adc_cs";"adc";"path0";"path1";"path2";"path3";"path4";"path5";"path6";"path7";"path8";"path9";"path10";"path11"
"2016-08-18 15:07:48.98";69;22331;11301;1;11301;1;0;4;10;210;222;42;12;0;215;467;551;392;6;0;3506447324;26739;6421;8835;2600;810;810;11101;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:08:19.468";69;30251;31131;1;31131;0;0;6;10;64;222;51;12;3;231;577;33;694;10;0;3904527173;39774;6380;11825;2356;2414;838;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:08:26.3";69;10011;1;1;1;0;0;1;10;195;222;10;10;6;255;708;5344;0;0;0;656070887;6638;6638;2881;2881;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"2016-08-18 15:09:22.184";69;50031;31131;1;31131;1;0;6;10;11;222;54;15;1;222;524;77;602;6;1;905842177;39936;6542;11689;2220;2392;816;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:09:47.852";69;11801;11501;3;11501;1;0;5;10;6;222;50;10;5;4;519;950;95;0;0;3414178165;33536;6469;8428;800;907;0;40031;10701;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:11:03.697";69;50531;23341;2;23341;1;0;5;10;17;222;50;10;221;228;530;325;334;0;1;1803366897;33567;6576;11997;2200;4962;867;10501;11101;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:11:07.241";69;20141;40031;1;40031;1;0;4;10;199;222;40;10;217;223;2504;2302;299;3;1;2754947802;27188;6881;8953;2272;4198;3291;10701;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:11:12.32";44;21141;11501;1;11501;2;0;5;10;62;222;53;13;0;215;2879;1;2226;45;0;3342612712;46619;46599;42503;42496;30720;30720;0;0;0;0;0;0;0;0;0;0;0;0
"2016-08-18 15:11:49.428";69;22531;11501;5;10101;0;0;5;10;23;222;50;10;2;221;536;16;73;0;0;4222227115;33916;6700;10501;2318;1690;783;40031;11101;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:13:14.228";69;23341;10501;1;10501;1;0;4;10;209;222;40;10;3;223;466;1106;394;1;1;3310492874;26724;6698;9019;2335;4095;4095;10301;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:14:38.448";69;11401;11501;5;10101;0;0;5;10;234;222;50;10;0;1;491;2571;160;0;1;3387964165;33581;6514;10653;3025;907;0;40031;10701;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:16:28.452";69;11501;40031;1;40031;0;0;4;10;213;222;40;10;232;255;470;9168;7;0;1;2267369002;27216;6760;8183;947;907;0;11101;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:16:44.68";44;23131;23341;5;22631;0;0;5;10;23;222;50;10;233;235;5912;21297;3525;2;0;3342612711;22298;22281;17673;17667;20483;20480;0;0;0;0;0;0;0;0;0;0;0;0
"2016-08-18 15:17:15.312";69;11601;20141;5;11501;0;0;5;10;115;222;51;11;216;0;628;396;21;0;0;238565949;33683;6624;9756;942;4201;0;40031;10701;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:17:33.75";69;11001;10501;3;11201;0;0;4;10;42;222;40;10;8;9;555;1930;71;1;0;2659078174;26961;6668;9760;2298;0;0;11101;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:18:24.498";69;30651;31131;1;31131;0;0;6;10;1;222;49;10;2;227;514;201;592;4;1;3930741173;39635;6241;12074;2605;5439;3863;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:19:03.848";69;10401;11301;1;11301;0;0;4;10;117;222;40;10;2;255;630;945;38;0;1;2724614774;27044;6726;8393;2158;0;0;11101;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:19:54.229";69;50431;31131;1;31131;0;0;6;10;65;222;51;12;5;5;578;929;546;16;0;932056177;40012;6618;11261;1792;2434;858;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:21:30.496";69;61531;31131;1;31131;0;0;6;10;254;222;49;10;0;213;511;193;463;1;0;1659494677;40005;6611;11692;2223;2323;747;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:22:51.968";69;20941;21731;5;11501;0;0;5;10;99;222;50;10;216;220;612;460;381;8;0;4105414823;33682;6508;10494;2149;4107;3453;11301;11101;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:23:22.17";69;61431;10101;2;31131;0;0;5;10;34;222;50;10;0;212;547;981;653;5;1;2188212119;33571;6578;8649;925;1654;747;40031;10701;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:25:25.721";69;40331;11301;2;10501;0;0;4;10;75;222;40;10;1;2;588;522;328;5;0;391110028;26871;6553;8426;2191;1037;1037;11101;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:28:27.786";69;62231;10101;3;10101;1;0;5;10;2;222;50;10;8;241;515;61;178;0;0;2240640119;34539;7546;9474;1750;1735;828;40031;10701;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:28:43.58";69;20851;11501;1;11501;0;0;5;10;92;222;50;10;2;225;605;1;334;0;0;4112128315;33960;6496;10760;2549;1698;791;40031;11101;10201;1;0;0;0;0;0;0;0;0
"2016-08-18 15:29:42.245";69;61331;31131;1;31131;2;0;6;10;88;222;49;10;2;223;601;31;262;2;0;1646387677;40002;6608;12426;2957;2401;825;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:31:33.696";69;30751;31131;1;31131;0;0;6;10;66;222;58;19;0;208;579;0;488;2;0;3937294673;39831;6437;12048;2579;1618;42;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:32:50.197";69;60931;31131;1;31131;0;0;6;10;31;222;49;10;3;219;544;35;285;4;0;1620173677;39928;6534;11809;2340;2349;773;22431;11301;11101;10201;1;0;0;0;0;0;0;0
"2016-08-18 15:33:06.568";69;21731;40031;2;11301;0;0;4;10;86;222;44;14;209;210;599;2017;381;0;1;2859148452;27163;6856;8791;2110;1561;654;10701;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:34:18.496";69;22431;11301;1;11301;3;0;4;10;101;222;40;10;0;213;614;834;646;5;1;3513000824;26910;6592;9469;3234;890;890;11101;10201;1;0;0;0;0;0;0;0;0;0
"2016-08-18 15:35:11.316";69;62031;11501;3;11501;3;0;5;10;104;222;50;10;3;225;617;235;212;0;0;2411033919;34055;6740;9808;2152;1661;754;40031;10701;10201;1;0;0;0;0;0;0;0;0
