cycle_count	entropy	node_entropy
123:	3.20540168813	2.97326002445
124:	3.42333140245	3.03181956609
125:	3.37300609906	2.95686799688
126:	3.31178168123	3.01363759189
127:	3.21094837152	3.0712455683
128:	3.53727256596	3.11970597431
129:	3.33623902149	3.06911115209
130:	3.49668407299	3.04839125016
131:	3.3041464486	3.01869029792
132:	3.270823165	3.04786453514
133:	3.44036464264	3.05722537241
134:	3.24932635452	2.92027113789
135:	3.21384898018	2.97486763099
136:	3.15837687917	2.8930368489
137:	3.42783991616	3.08997948904
138:	3.29790880759	2.97835941211
139:	3.53783908272	3.08792535925
140:	3.31318353386	3.00026329711
141:	3.37262468907	3.04096571415
142:	3.27938407492	3.00805265502
143:	3.31977030858	3.06112927882
144:	3.42039578499	3.07758068323
145:	3.40064999005	2.98423032296
146:	3.23417868315	2.97478789223
147:	3.14282530185	2.97485601277
148:	3.34643837724	2.95997972113
149:	3.48813778033	3.13717718258
150:	3.55217372685	3.1609625153
151:	3.44762710228	3.10564377684
152:	3.31534677395	3.01935241865
153:	3.33800187641	2.92423054098
154:	3.37575917866	3.0359500035
155:	3.30222363002	2.93624179901
156:	3.44789454737	3.03873963393
157:	3.40673001389	2.97317822408
158:	3.32142918858	3.05636730077
159:	3.28632349785	2.98142072726
160:	3.28581864971	2.97170619249
161:	3.33825257961	3.05996798121
162:	3.12002449041	2.9844841277
163:	3.19582957757	3.00585861234
164:	3.46111104644	3.15492778329
165:	3.28127428586	3.02681508078
166:	3.26227242557	2.96927747934
167:	3.39717777863	3.03823283463
168:	3.19118090254	2.99601535289
169:	3.31217335008	3.0419670553
170:	3.44370365908	3.17702911683
171:	3.18810939282	2.92073332326
172:	3.46723858063	3.06752386851
173:	3.10124761108	2.93604672913
174:	3.41084602248	3.03775873769
175:	3.2706980199	2.99539349772
176:	3.46752220609	3.07908205063
177:	3.20913244141	2.96295230549
178:	3.46006463594	3.13836102777
179:	3.3522573535	3.01725836066
