2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
10011	1.0
10911	3.0
11801	4.0
20141	2.0
20251	4.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21141	1.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22231	1.0
22331	5.0
22431	5.0
22531	5.0
22631	2.0
22931	5.0
23031	4.0
23131	5.0
23241	4.0
30251	3.0
30451	5.0
31051	1.0
31301	1.0
40231	5.0
50431	5.0
60331	5.0
60731	5.0
60831	5.0
60931	1.0
61531	5.0
61631	2.0
61731	5.0
61831	5.0
62131	3.0
62231	3.0
number of leaf nodes: 40	avg_prnt_size: 3.675	stdev: 1.53927742789

2016-08-19 21:14:38 Round: 16
nodeid	prnt_size
10011	1.0
10911	3.0
11801	3.0
20251	4.0
20541	1.0
20711	3.0
20841	2.0
20851	1.0
21031	4.0
21341	5.0
21731	5.0
21831	5.0
21931	5.0
22031	4.0
22131	5.0
22331	5.0
22431	5.0
22531	5.0
22831	5.0
22931	5.0
23131	4.0
30651	2.0
31051	1.0
50331	1.0
50431	5.0
60001	1.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	5.0
62131	3.0
62231	2.0
number of leaf nodes: 38	avg_prnt_size: 3.81578947368	stdev: 1.53649058705

2016-08-19 23:14:55 Round: 17
nodeid	prnt_size
10011	1.0
10911	3.0
11601	4.0
20151	5.0
20251	4.0
20301	4.0
20711	3.0
20851	1.0
20941	5.0
21141	1.0
21731	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22431	1.0
22531	5.0
22731	2.0
22831	5.0
23031	3.0
23241	3.0
30251	2.0
30351	5.0
30451	1.0
30751	3.0
31051	1.0
31131	5.0
40231	5.0
40331	5.0
50131	4.0
50431	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
60931	1.0
61131	5.0
61231	5.0
61331	5.0
61731	5.0
62031	2.0
62131	3.0
62231	3.0
number of leaf nodes: 43	avg_prnt_size: 3.72093023256	stdev: 1.5299427166

2016-08-20 01:15:18 Round: 18
nodeid	prnt_size
10011	1.0
10911	3.0
20151	5.0
20301	4.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21831	5.0
21931	5.0
22031	5.0
22131	5.0
22331	5.0
22531	5.0
22631	2.0
22731	2.0
23131	4.0
30251	2.0
30451	1.0
30551	1.0
30751	3.0
40331	5.0
50031	1.0
50131	5.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60831	5.0
61131	5.0
61531	5.0
61731	5.0
61831	5.0
61931	2.0
62131	3.0
62231	3.0
number of leaf nodes: 38	avg_prnt_size: 3.60526315789	stdev: 1.58179567654

2016-08-20 03:15:47 Round: 19
nodeid	prnt_size
10011	1.0
10911	3.0
20031	4.0
20151	5.0
20441	1.0
20641	5.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21731	5.0
21831	5.0
22131	5.0
22331	5.0
22431	1.0
22531	5.0
22731	2.0
22831	5.0
23031	3.0
23131	4.0
30451	5.0
31301	2.0
40231	5.0
50031	1.0
50131	5.0
50431	5.0
60001	1.0
60331	5.0
60731	5.0
60831	5.0
61131	5.0
61231	5.0
61431	1.0
61531	5.0
61731	5.0
61831	5.0
62131	3.0
62231	3.0
number of leaf nodes: 38	avg_prnt_size: 3.73684210526	stdev: 1.60072698166

2016-08-20 05:16:55 Round: 20
nodeid	prnt_size
10011	1.0
10911	3.0
11401	2.0
